"Date","Month","Year","Site.Name","COUNTY","meanLAT","meanLONG","Ozone","PM2.5"
2018-01-01,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,35
2018-01-01,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,13
2018-01-01,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,24
2018-01-01,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,31
2018-01-01,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,32,20
2018-01-01,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,22
2018-01-01,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,14
2018-01-01,1,2018,"Millbrook School","Wake",35.856111,-78.574167,34,28
2018-01-01,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,15
2018-01-01,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,24
2018-01-02,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,51
2018-01-02,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,15
2018-01-02,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,40
2018-01-02,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,37
2018-01-02,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,7
2018-01-02,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,38
2018-01-02,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,25.5
2018-01-02,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,20
2018-01-02,1,2018,"Linville Falls","Avery",35.972347,-81.933072,NA,12
2018-01-02,1,2018,"Millbrook School","Wake",35.856111,-78.574167,31,38.5
2018-01-02,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,28
2018-01-02,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,35
2018-01-03,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,44
2018-01-03,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,18
2018-01-03,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,68
2018-01-03,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,58
2018-01-03,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,21,59
